key,naive,stlarima,arima
LILYFA-19,0.4375,0.775,0.55859
7911FA-19,2.2,2.37254,2.2
ME264ROFANE-18,5.3875,5.38498,5.52824
1038GI-17,6.3875,9.5191,6.3875
19041NE-19,8.675,3.54642,12.04312
M8674B90BE-18,9.125,14.37346,9.24847
G18VM-17,9.3,29.57464,9.77355
M9368C707NE-19,9.525,5.89188,9.525
VG8174NE-18,9.6125,6.79172,14.3252
K4186T68RS-19,9.8,19.85,9.65723
EE26NE-19,11.25,49.95339,14.51125
980DIORNE-19,11.5375,75.84796,9.3875
P3NE-17,11.6125,83.77998,16.7475
AM1459DD70VE-17,11.825,35.04978,23.12183
VA814180MILFA-19,12.0375,15.77332,12.0375
XL2753FA-17,12.1125,10.6021,12.1125
G9VE-17,12.475,24.166,14.31377
MA3949226909FABL-17,12.55,81.16826,15.85907
ME799FA-19,12.5875,19.75506,8.1438
ORSOLAFA-17,13.0125,92.33155,13.0125
GIA5286B502BE-19,13.2,27.025,17.22258
314VM-17,13.25,86.40518,15.86625
693125NE-17,13.425,11.175,13.33764
CHARMFABI-17,13.75,40.08804,24.3544
TU07U34NE-19,13.975,18.75712,20.54342
P2199B552NE-18,16.0125,28.775,13.26277
ALMA7155BE-17,16.35,11.00613,15.32218
P2264A607NE-18,16.625,88.92771,14.7925
GP918BL-18,16.975,13.4125,16.82811
12844RS-19,17.1875,16.63207,14.18159
VG7354VE-17,17.225,42.39991,24.24251
EE21BI-18,17.65,22.09038,9.19824
GP918NE-18,17.85,45.61943,10.4
AXI601NE-17,18.325,11.11523,17.43626
SS13FA-17,18.725,21.96296,16.59256
LI16303NE-18,18.9625,16.27498,11.32525
VA818687AIVE-19,19.8125,19.825,18.82169
LI4051821RS-19,19.9625,139.79032,26.65625
A18178NE-19,20.0875,17.0375,19.39873
1603NE-19,21.025,21.64456,19.38781
ME218FA-17,21.1125,32.74187,6.21716
SLIM2JE-17,21.175,86.38863,16.625
P2042A438BL-17,21.775,62.5883,21.6725
M13NE-19,22.55,31.88445,14.79213
ME241FA-17,22.9875,88.87531,19.22
YR1938BL-17,23.25,12.33543,23.19307
18010FANE-18,23.275,27.47037,40.8496
18042BFAGR-18,23.5,71.8569,20.28387
ASH22236AIPL-19,23.5125,57.0018,11.20912
9057AINE-19,23.7375,20.38472,23.7375
MIS833NE-18,23.7375,27.9466,28.70077
D0538R420JE-19,23.7875,60.52545,18.0312
NL0116303NE-17,23.8,40.72305,25.71597
M6307VIBL-18,23.875,78.73148,24.6475
584325AINE-17,24.725,21.3625,23.81439
XL3425FA-19,24.9875,96.82869,21.8
N2166BI-19,25.6875,15.79493,28.28742
N2175FA-19,26.1375,21.06798,27.29239
VG8143GR-18,26.4875,109.38716,23.08501
VG8203GR-18,26.7,28.9125,26.7
936625NE-18,26.725,19.59756,26.15693
ALMP18219PEFAGI-18,26.875,28.33785,20.25601
VG9044NE-19,27.775,25.89999,23.73823
WENDYNE-19,28.1,25.63318,22.90016
EU1908GH-17,29.05,15.28902,33.43207
VG8185NE-18,29.45,26.02713,27.98973
GP918GI-18,29.7875,50.7332,27.9425
VG9109FANE-19,29.9375,125.66041,29.9375
466136NE-17,29.95,25.78152,29.95
LI1103967VI-17,31.5875,81.35253,33.25
ALM56334AIBE-17,32.225,44.78363,49.64533
LI4027521STBI-18,32.575,142.71052,25.9
EE2FANE-19,32.725,42.38291,32.725
VG7960PA-17,32.8875,81.51634,27.7625
T6080T7T52NE-18,33.0625,30.46598,26.53613
10749V2FARS-18,33.2,19.36693,13.91065
M9040D1VE-18,34.0875,111.99566,20.0875
ME202FA-17,34.1125,98.98725,18.86625
NL355FARO-17,34.5625,103.49994,32.92012
ALMP9115NE-19,35.5125,23.9125,26.89924
GP918PA-17,36.0375,36.6564,30.56508
A4848909OT-19,36.175,52.39627,19.2225
P1281E144NE-18,36.575,73.85258,21.55125
11494FIOREFANE-18,36.75,30.06324,36.75
M9055NE-19,37.45,51.83961,33.99125
SJ20R460JE-18,37.925,42.09491,35.25256
HM18257AV-18,37.9625,28.97285,34.17004
ME271VE-18,39.2875,18.4532,25.34772
LJ16303RS-19,39.5,37.281,24.32886
LDVF6337GR-17,43.8,13.42526,13.4972
A07CL-17,45.625,35.11207,40.10403
N2165FA-19,45.7125,61.22582,32.22
A1619NE-17,46.0375,42.49051,39.22837
SS17NE-17,47.15,88.58228,39.05
P2439T1RS-18,50.2375,61.57426,37.37625
ALMP18821FA-18,51.775,116.1718,9.9
ARC805PEAV-18,54.625,102.95934,40.8975
ALMAP18083PECM-18,57.3,31.12714,45.18546
P2312607NE-18,63.4125,76.15699,26.80375
M5102909DBI-18,73.55,20.9315,22.48972
