key,naive,stlarima,arima
LILYFA-19,0.24187,1.09537,0.36249
7911FA-19,7.10125,6.48522,7.10125
ME264ROFANE-18,31.12062,57.97133,35.19706
1038GI-17,44.03063,103.0549,44.03063
VG8174NE-18,109.02562,61.89124,227.60808
M8674B90BE-18,111.34375,220.89929,108.73145
19041NE-19,117.6575,23.91857,200.7949
M9368C707NE-19,122.67375,77.71157,122.67375
EE26NE-19,135.65375,2722.71419,265.27226
K4186T68RS-19,157.39875,537.56584,160.77817
G18VM-17,157.635,1245.5473,195.09552
ME799FA-19,195.58562,570.72226,176.7978
XL2753FA-17,200.11312,230.52499,200.11312
980DIORNE-19,210.32062,6183.03535,150.9062
P3NE-17,213.30812,7732.2225,445.31031
G9VE-17,214.40125,756.96758,243.79998
693125NE-17,218.8425,323.75783,221.15824
TU07U34NE-19,229.07625,827.47474,477.30404
VA814180MILFA-19,238.66063,390.10116,238.66063
314VM-17,249.39,7658.35156,335.89618
AM1459DD70VE-17,270.22625,1554.4021,633.59814
MA3949226909FABL-17,289.39875,7362.25117,316.20633
GP918BL-18,305.75875,226.6852,299.48483
ALMA7155BE-17,311.28375,253.36162,272.26929
EE21BI-18,353.33375,535.91429,118.32245
GIA5286B502BE-19,356.65125,1085.08095,455.8548
12844RS-19,357.95312,456.49504,242.5752
ORSOLAFA-17,383.65063,9927.01182,369.10015
P2199B552NE-18,409.74187,1087.95289,280.65665
P2264A607NE-18,421.27125,8565.63191,365.58796
GP918NE-18,443.715,2196.92499,159.43216
SS13FA-17,444.13875,586.42623,473.94832
AXI601NE-17,448.56625,168.94021,418.09545
LI16303NE-18,452.40063,305.53585,168.45639
A18178NE-19,460.93062,408.67282,437.8726
VG7354VE-17,468.1225,2212.10002,759.12092
CHARMFABI-17,524.15625,1739.94235,728.54054
9057AINE-19,584.03562,563.48914,581.41455
D0538R420JE-19,596.50812,4920.19838,384.23362
LI4051821RS-19,605.81813,21108.1397,830.26096
1603NE-19,610.82625,601.61489,442.95451
ME241FA-17,632.06312,8278.10983,473.04655
ME218FA-17,632.53063,1285.95575,55.11948
P2042A438BL-17,651.0925,4417.38403,643.04746
18042BFAGR-18,655.45875,6146.75853,506.7124
584325AINE-17,657.7825,1192.05501,600.51364
M13NE-19,678.835,1055.64709,312.90782
N2175FA-19,715.69562,641.65344,768.1086
NL0116303NE-17,721.21625,2446.99834,860.16998
YR1938BL-17,728.69875,187.32831,732.34189
N2166BI-19,731.93187,266.97308,917.69552
VA818687AIVE-19,735.42188,509.82511,421.37926
MIS833NE-18,738.81312,952.94458,1354.43853
ASH22236AIPL-19,758.67563,4257.65409,175.35065
18010FANE-18,760.4525,1139.24184,1939.43793
SLIM2JE-17,761.27125,8057.48368,325.85059
M6307VIBL-18,872.25375,8399.04912,1222.911
VG9044NE-19,874.32375,913.3199,889.1404
XL3425FA-19,887.92687,10339.11676,705.92074
WENDYNE-19,914.04875,811.69245,561.58712
VG8203GR-18,944.03625,908.55218,886.13039
936625NE-18,951.01125,582.86207,907.29728
VG8185NE-18,965.02375,704.02883,841.5452
VG8143GR-18,984.92562,13916.93784,816.25548
LI1103967VI-17,1048.78313,8598.98515,1127.41952
ALM56334AIBE-17,1090.39625,2068.25211,3147.97076
GP918GI-18,1096.58312,2755.21063,990.07152
EE2FANE-19,1116.01375,2935.04364,1116.01375
EU1908GH-17,1141.215,278.46353,1443.90901
ALMP18219PEFAGI-18,1158.3825,1584.36965,507.63194
466136NE-17,1176.87625,744.21562,1176.87625
VG9109FANE-19,1210.01812,17437.15899,1078.26813
T6080T7T52NE-18,1214.17188,1256.63178,767.67488
A4848909OT-19,1337.31625,2882.26632,398.19032
ALMP9115NE-19,1377.39562,945.24451,1126.72101
10749V2FARS-18,1455.65375,704.30655,345.23982
11494FIOREFANE-18,1513.15625,1131.40454,1513.15625
NL355FARO-17,1542.08062,11909.44048,1216.58542
ME202FA-17,1572.45563,11019.32596,595.662
M9040D1VE-18,1573.86187,12668.57389,554.46792
GP918PA-17,1632.81812,1402.70491,1268.34071
SJ20R460JE-18,1656.18625,2974.7533,1675.21569
VG7960PA-17,1675.79187,6781.22676,1117.42334
HM18257AV-18,1714.52063,1166.69845,1278.46333
P1281E144NE-18,1735.07875,6110.89306,570.99476
ME271VE-18,1747.58688,523.65825,957.3618
LI4027521STBI-18,1844.71375,21516.00944,823.74697
M9055NE-19,1893.78875,3764.62072,1556.16663
LJ16303RS-19,1996.85125,1590.98129,911.21641
LDVF6337GR-17,2009.435,257.54958,232.61873
N2165FA-19,2578.45688,5556.8287,1238.35196
SS17NE-17,2608.49625,8330.94175,1910.27663
A07CL-17,2719.16125,1502.32756,2254.46568
ALMP18821FA-18,2819.12125,14317.21995,153.31242
P2439T1RS-18,3057.20813,5467.28034,1439.19875
A1619NE-17,3209.09562,2065.80201,1813.03601
ARC805PEAV-18,3390.18375,12000.49368,2069.73562
ALMAP18083PECM-18,4165.86,1004.13325,2214.57157
P2312607NE-18,4378.06312,7461.03993,959.37523
M5102909DBI-18,5685.25875,950.12383,676.54624
