key,naive,stlarima,arima
LILYFA-19,0.49181,1.0466,0.60207
7911FA-19,2.66482,2.54661,2.66482
ME264ROFANE-18,5.57859,7.61389,5.93271
1038GI-17,6.63556,10.1516,6.63556
VG8174NE-18,10.44153,7.8671,15.08669
M8674B90BE-18,10.55195,14.86268,10.42744
19041NE-19,10.847,4.89066,14.17021
M9368C707NE-19,11.07582,8.81542,11.07582
EE26NE-19,11.64705,52.17963,16.28718
K4186T68RS-19,12.54587,23.18547,12.67983
G18VM-17,12.55528,35.29231,13.96766
ME799FA-19,13.98519,23.88979,13.29653
XL2753FA-17,14.14613,15.18305,14.14613
980DIORNE-19,14.50244,78.63228,12.28439
P3NE-17,14.60507,87.93306,21.10238
G9VE-17,14.64245,27.51304,15.6141
693125NE-17,14.79333,17.99327,14.87139
TU07U34NE-19,15.13527,28.76586,21.84729
VA814180MILFA-19,15.44864,19.75098,15.44864
314VM-17,15.79209,87.51201,18.32747
AM1459DD70VE-17,16.43856,39.42591,25.17138
MA3949226909FABL-17,17.01172,85.80356,17.78219
GP918BL-18,17.48596,15.05607,17.30563
ALMA7155BE-17,17.64324,15.91734,16.50058
EE21BI-18,18.79717,23.14982,10.87761
GIA5286B502BE-19,18.88521,32.94057,21.35076
12844RS-19,18.91965,21.36574,15.57483
ORSOLAFA-17,19.587,99.63439,19.21198
P2199B552NE-18,20.24208,32.98413,16.75281
P2264A607NE-18,20.52489,92.5507,19.12035
GP918NE-18,21.06454,46.87137,12.62664
SS13FA-17,21.0746,24.21624,21.77035
AXI601NE-17,21.17938,12.9977,20.44738
LI16303NE-18,21.26971,17.47958,12.97907
A18178NE-19,21.46929,20.21566,20.92541
VG7354VE-17,21.63614,47.03297,27.55215
CHARMFABI-17,22.89446,41.71262,26.99149
9057AINE-19,24.16683,23.73793,24.11254
D0538R420JE-19,24.42352,70.14413,19.60188
LI4051821RS-19,24.61337,145.28641,28.81425
1603NE-19,24.7149,24.52784,21.04648
ME241FA-17,25.14087,90.98412,21.74963
ME218FA-17,25.15016,35.86023,7.42425
P2042A438BL-17,25.51651,66.4634,25.35838
18042BFAGR-18,25.60193,78.40127,22.51027
584325AINE-17,25.64727,34.52615,24.50538
M13NE-19,26.05446,32.49072,17.6892
N2175FA-19,26.75249,25.33088,27.71477
NL0116303NE-17,26.85547,49.46714,29.32865
YR1938BL-17,26.99442,13.68679,27.06182
N2166BI-19,27.05424,16.33931,30.29349
VA818687AIVE-19,27.11866,22.57931,20.52752
MIS833NE-18,27.18112,30.8698,36.8027
ASH22236AIPL-19,27.54407,65.2507,13.242
18010FANE-18,27.5763,33.75266,44.03905
SLIM2JE-17,27.59114,89.76349,18.05133
M6307VIBL-18,29.53394,91.64633,34.97014
VG9044NE-19,29.56897,30.22118,29.81846
XL3425FA-19,29.7981,101.68145,26.56917
WENDYNE-19,30.23324,28.49022,23.69783
VG8203GR-18,30.72517,30.1422,29.76794
936625NE-18,30.83847,24.14254,30.12138
VG8185NE-18,31.06483,26.53354,29.0094
VG8143GR-18,31.38352,117.97007,28.57019
LI1103967VI-17,32.38492,92.73071,33.57707
ALM56334AIBE-17,33.02115,45.47804,56.10678
GP918GI-18,33.1147,52.4901,31.4654
EE2FANE-19,33.40679,54.17604,33.40679
EU1908GH-17,33.78187,16.68723,37.9988
ALMP18219PEFAGI-18,34.03502,39.80414,22.53069
466136NE-17,34.30563,27.28032,34.30563
VG9109FANE-19,34.78531,132.04984,32.83699
T6080T7T52NE-18,34.84497,35.449,27.70695
A4848909OT-19,36.56933,53.68674,19.95471
ALMP9115NE-19,37.11328,30.74483,33.56667
10749V2FARS-18,38.15303,26.53877,18.58063
11494FIOREFANE-18,38.89931,33.63636,38.89931
NL355FARO-17,39.26933,109.13038,34.87958
ME202FA-17,39.6542,104.97298,24.40619
M9040D1VE-18,39.67193,112.55476,23.54714
GP918PA-17,40.40814,37.4527,35.61377
SJ20R460JE-18,40.69627,54.5413,40.9294
VG7960PA-17,40.93644,82.3482,33.42788
HM18257AV-18,41.40677,34.15697,35.75561
P1281E144NE-18,41.65428,78.1722,23.8955
ME271VE-18,41.80415,22.88358,30.94126
LI4027521STBI-18,42.95013,146.68336,28.70099
M9055NE-19,43.51768,61.35651,39.44828
LJ16303RS-19,44.68614,39.88711,30.18636
LDVF6337GR-17,44.82672,16.04835,15.25184
N2165FA-19,50.77851,74.54414,35.19023
SS17NE-17,51.07344,91.27399,43.70671
A07CL-17,52.14558,38.75987,47.48121
ALMP18821FA-18,53.0954,119.65459,12.38194
P2439T1RS-18,55.29203,73.94106,37.93677
A1619NE-17,56.64888,45.45109,42.57976
ARC805PEAV-18,58.22528,109.54676,45.49435
ALMAP18083PECM-18,64.54347,31.68806,47.05923
P2312607NE-18,66.16693,86.37731,30.97378
M5102909DBI-18,75.40065,30.82408,26.0105
