key,naive,stlarima,arima
LILYFA-19,0.4375,0.95788,1.2
7911FA-19,2.2,1.96138,4.52639
ME264ROFANE-18,5.3875,10.34128,20.825
1038GI-17,6.3875,4.96881,23.2125
19041NE-19,8.675,9.31149,5.41079
M8674B90BE-18,9.125,27.70972,46.2875
G18VM-17,9.3,82.25257,31.0125
M9368C707NE-19,9.525,10.87902,28.5625
VG8174NE-18,9.6125,6.77585,24.45
K4186T68RS-19,9.8,19.80924,15.82857
EE26NE-19,11.25,49.95339,21.975
980DIORNE-19,11.5375,75.84796,12.9625
P3NE-17,11.6125,26.01461,28.91892
AM1459DD70VE-17,11.825,100.24093,19.875
VA814180MILFA-19,12.0375,57.14255,19.325
XL2753FA-17,12.1125,72.3777,29.725
G9VE-17,12.475,14.43115,47.9125
MA3949226909FABL-17,12.55,99.7779,14.0375
ME799FA-19,12.5875,49.2764,12.9625
ORSOLAFA-17,13.0125,82.97299,30.72284
GIA5286B502BE-19,13.2,84.23382,33.5
314VM-17,13.25,86.40518,13.225
693125NE-17,13.425,86.51557,19.925
CHARMFABI-17,13.75,40.08803,23.8731
TU07U34NE-19,13.975,18.75692,17.79766
P2199B552NE-18,16.0125,86.00829,28.775
ALMA7155BE-17,16.35,16.20247,63.9125
P2264A607NE-18,16.625,88.92771,17.05
GP918BL-18,16.975,54.317,17.5875
12844RS-19,17.1875,93.12036,14.4
VG7354VE-17,17.225,42.39991,22.9
EE21BI-18,17.65,51.47758,36.125
GP918NE-18,17.85,45.61943,14.8
AXI601NE-17,18.325,11.11729,18.744
SS13FA-17,18.725,30.88165,51.5125
LI16303NE-18,18.9625,90.87256,14.2
VA818687AIVE-19,19.8125,19.825,23.95
LI4051821RS-19,19.9625,139.79032,38.2875
A18178NE-19,20.0875,70.0141,21.7125
1603NE-19,21.025,81.82659,20.625
ME218FA-17,21.1125,32.6269,26.63532
SLIM2JE-17,21.175,86.38863,20.25
P2042A438BL-17,21.775,62.5883,22.4375
M13NE-19,22.55,93.00156,21.85
ME241FA-17,22.9875,88.87531,15.1
YR1938BL-17,23.25,85.4844,16.1625
18010FANE-18,23.275,86.03807,25.875
18042BFAGR-18,23.5,94.64672,16.4625
ASH22236AIPL-19,23.5125,28.45777,22.94269
9057AINE-19,23.7375,91.41555,13.6625
MIS833NE-18,23.7375,98.84261,21.15
D0538R420JE-19,23.7875,70.65852,24.8875
NL0116303NE-17,23.8,46.27075,22.9625
M6307VIBL-18,23.875,78.73148,38.0375
584325AINE-17,24.725,21.3625,23.70758
XL3425FA-19,24.9875,96.82869,16.3375
N2166BI-19,25.6875,79.57969,24.4
N2175FA-19,26.1375,21.06649,19.85
VG8143GR-18,26.4875,109.38716,35.875
VG8203GR-18,26.7,68.47387,28.9125
936625NE-18,26.725,86.05335,19.5
ALMP18219PEFAGI-18,26.875,104.56143,31.3875
VG9044NE-19,27.775,81.14808,25.9
WENDYNE-19,28.1,74.14461,41.225
EU1908GH-17,29.05,14.29699,29.4875
VG8185NE-18,29.45,66.02408,36.375
GP918GI-18,29.7875,50.7332,24.6
VG9109FANE-19,29.9375,125.66041,32.2125
466136NE-17,29.95,82.81774,8.525
LI1103967VI-17,31.5875,81.35253,51.4875
ALM56334AIBE-17,32.225,71.5636,55.35
LI4027521STBI-18,32.575,142.71052,28.525
EE2FANE-19,32.725,101.3363,37.1375
VG7960PA-17,32.8875,81.51634,15.5875
T6080T7T52NE-18,33.0625,30.59846,21.88771
10749V2FARS-18,33.2,129.94312,21.225
M9040D1VE-18,34.0875,23.57641,21.98743
ME202FA-17,34.1125,27.34356,30.24424
NL355FARO-17,34.5625,118.92763,18.3875
ALMP9115NE-19,35.5125,98.28683,33.4625
GP918PA-17,36.0375,36.65666,47.92194
A4848909OT-19,36.175,52.39627,10.6625
P1281E144NE-18,36.575,24.32784,19.90933
11494FIOREFANE-18,36.75,95.57886,22.05
M9055NE-19,37.45,51.83961,50.8
SJ20R460JE-18,37.925,52.66548,51.0625
HM18257AV-18,37.9625,29.05734,24.38777
ME271VE-18,39.2875,60.25437,22.95
LJ16303RS-19,39.5,70.14909,37.975
LDVF6337GR-17,43.8,13.4412,37.91555
A07CL-17,45.625,77.76661,26.6875
N2165FA-19,45.7125,61.22582,47.0
A1619NE-17,46.0375,67.25974,43.025
SS17NE-17,47.15,88.58228,29.7625
P2439T1RS-18,50.2375,61.57426,37.775
ALMP18821FA-18,51.775,116.1718,18.6375
ARC805PEAV-18,54.625,102.95934,36.6
ALMAP18083PECM-18,57.3,74.31912,38.45
P2312607NE-18,63.4125,76.15699,41.35
M5102909DBI-18,73.55,20.87749,20.76229
