key,naive,stlarima,arima
LILYFA-19,0.24187,1.58318,1.68125
7911FA-19,7.10125,4.68384,21.48695
ME264ROFANE-18,31.12062,121.67597,476.48125
1038GI-17,44.03063,39.83851,551.26187
VG8174NE-18,109.02562,64.14044,613.56625
M8674B90BE-18,111.34375,1007.72059,2328.80562
19041NE-19,117.6575,104.53895,51.17214
M9368C707NE-19,122.67375,127.61429,865.74187
EE26NE-19,135.65375,2722.71419,635.59125
K4186T68RS-19,157.39875,533.31068,320.82588
G18VM-17,157.635,7428.83706,1332.66312
ME799FA-19,195.58562,2705.91256,212.35562
XL2753FA-17,200.11312,5529.3269,1001.69625
980DIORNE-19,210.32062,6183.03535,198.11313
P3NE-17,213.30812,976.38594,1181.39421
G9VE-17,214.40125,324.15181,2567.71688
693125NE-17,218.8425,7712.40404,417.4125
TU07U34NE-19,229.07625,827.4586,761.6841
VA814180MILFA-19,238.66063,3958.5437,760.02875
314VM-17,249.39,7658.35156,226.5725
AM1459DD70VE-17,270.22625,10926.93046,508.8725
MA3949226909FABL-17,289.39875,10158.27929,226.60938
GP918BL-18,305.75875,3261.35863,381.27437
ALMA7155BE-17,311.28375,266.62668,4217.03437
EE21BI-18,353.33375,3085.49608,1657.17125
GIA5286B502BE-19,356.65125,8523.25108,1484.29125
12844RS-19,357.95312,8889.65885,295.53125
ORSOLAFA-17,383.65063,8750.50526,1181.0915
P2199B552NE-18,409.74187,8232.94364,948.2975
P2264A607NE-18,421.27125,8565.63191,685.87875
GP918NE-18,443.715,2196.92499,265.81
SS13FA-17,444.13875,1049.3326,3207.03437
AXI601NE-17,448.56625,168.98141,376.17477
LI16303NE-18,452.40063,8539.85906,412.92875
A18178NE-19,460.93062,5307.37838,652.51187
VG7354VE-17,468.1225,2212.10002,696.175
CHARMFABI-17,524.15625,1739.94187,1033.65376
9057AINE-19,584.03562,8528.41887,290.97813
D0538R420JE-19,596.50812,5742.56845,654.90688
LI4051821RS-19,605.81813,21108.1397,1592.52813
1603NE-19,610.82625,7633.4228,550.74875
ME241FA-17,632.06312,8278.10983,272.525
ME218FA-17,632.53063,1276.57365,959.10167
P2042A438BL-17,651.0925,4417.38403,575.93812
18042BFAGR-18,655.45875,9280.08093,369.07937
584325AINE-17,657.7825,1192.05501,861.37071
M13NE-19,678.835,9997.7531,1154.70125
N2175FA-19,715.69562,641.60376,448.84375
NL0116303NE-17,721.21625,2736.20604,605.10187
YR1938BL-17,728.69875,7711.75728,434.18188
N2166BI-19,731.93187,6537.39929,793.42875
VA818687AIVE-19,735.42188,509.82509,758.0375
MIS833NE-18,738.81312,9983.70319,603.88125
ASH22236AIPL-19,758.67563,955.16734,652.27078
18010FANE-18,760.4525,7708.73995,850.85875
SLIM2JE-17,761.27125,8057.48368,497.59375
M6307VIBL-18,872.25375,8399.04912,2183.67188
VG9044NE-19,874.32375,7327.52371,950.6425
XL3425FA-19,887.92687,10339.11676,535.92188
WENDYNE-19,914.04875,6433.41907,2192.07875
VG8203GR-18,944.03625,5539.9896,920.82813
936625NE-18,951.01125,7737.45916,515.44125
VG8185NE-18,965.02375,5002.25249,1527.8075
VG8143GR-18,984.92562,13916.93784,1540.50375
LI1103967VI-17,1048.78313,8598.98515,2713.86312
ALM56334AIBE-17,1090.39625,6554.81307,3630.54125
GP918GI-18,1096.58312,2755.21063,762.97125
EE2FANE-19,1116.01375,12431.96094,1995.74937
EU1908GH-17,1141.215,321.81833,1065.33812
ALMP18219PEFAGI-18,1158.3825,13448.17061,1473.49563
466136NE-17,1176.87625,6892.43832,98.88875
VG9109FANE-19,1210.01812,17437.15899,1158.58062
T6080T7T52NE-18,1214.17188,1264.53481,868.96366
A4848909OT-19,1337.31625,2882.26632,130.90937
ALMP9115NE-19,1377.39562,10393.97675,1310.78062
10749V2FARS-18,1455.65375,17623.05094,821.3025
11494FIOREFANE-18,1513.15625,10137.93409,804.32375
NL355FARO-17,1542.08062,14581.28873,517.43812
ME202FA-17,1572.45563,840.17045,1120.60363
M9040D1VE-18,1573.86187,765.86059,549.38964
GP918PA-17,1632.81812,1402.72742,2983.42886
SJ20R460JE-18,1656.18625,4469.21212,4330.57688
VG7960PA-17,1675.79187,6781.22676,405.43688
HM18257AV-18,1714.52063,1168.13589,978.61389
P1281E144NE-18,1735.07875,694.59157,830.93637
ME271VE-18,1747.58688,4520.38778,877.52375
LI4027521STBI-18,1844.71375,21516.00944,1375.79375
M9055NE-19,1893.78875,3764.62072,2960.2125
LJ16303RS-19,1996.85125,6046.10573,1665.6725
LDVF6337GR-17,2009.435,258.14326,1825.32088
N2165FA-19,2578.45688,5556.8287,3361.53125
SS17NE-17,2608.49625,8330.94175,1600.88812
A07CL-17,2719.16125,6597.4153,744.55188
ALMP18821FA-18,2819.12125,14317.21995,903.69688
P2439T1RS-18,3057.20813,5467.28034,1668.7875
A1619NE-17,3209.09562,5910.52289,2101.56125
ARC805PEAV-18,3390.18375,12000.49368,1717.9025
ALMAP18083PECM-18,4165.86,6208.30449,1615.655
P2312607NE-18,4378.06312,7461.03993,1825.845
M5102909DBI-18,5685.25875,946.98311,468.28895
