key;order;seasonal_order
1038GI-17;(0, 1, 1);(0, 0, 0, 0)
10749V2FARS-18;(5, 0, 0);(0, 0, 0, 0)
11494FIOREFANE-18;(5, 1, 0);(0, 0, 0, 0)
12844RS-19;(2, 0, 2);(0, 0, 0, 0)
1603NE-19;(1, 0, 1);(0, 0, 0, 0)
18010FANE-18;(0, 0, 0);(0, 0, 0, 0)
18042BFAGR-18;(0, 0, 0);(0, 0, 0, 0)
19041NE-19;(0, 1, 1);(0, 0, 0, 0)
314VM-17;(1, 0, 3);(0, 0, 0, 0)
466136NE-17;(0, 1, 1);(0, 0, 0, 0)
584325AINE-17;(2, 0, 2);(0, 0, 0, 0)
693125NE-17;(0, 0, 0);(0, 0, 0, 0)
7911FA-19;(3, 1, 1);(0, 0, 0, 0)
9057AINE-19;(0, 0, 0);(0, 0, 0, 0)
936625NE-18;(0, 0, 0);(0, 0, 0, 0)
980DIORNE-19;(0, 0, 2);(0, 0, 0, 0)
A07CL-17;(2, 0, 2);(0, 0, 0, 0)
A1619NE-17;(3, 0, 0);(0, 0, 0, 0)
A18178NE-19;(0, 1, 1);(0, 0, 0, 0)
A4848909OT-19;(0, 0, 0);(0, 0, 0, 0)
ALM56334AIBE-17;(0, 0, 0);(0, 0, 0, 0)
ALMA7155BE-17;(1, 1, 1);(0, 0, 0, 0)
ALMAP18083PECM-18;(1, 0, 3);(0, 0, 0, 0)
ALMP18219PEFAGI-18;(0, 0, 0);(0, 0, 0, 0)
ALMP18821FA-18;(0, 0, 0);(0, 0, 0, 0)
ALMP9115NE-19;(1, 0, 3);(0, 0, 0, 0)
AM1459DD70VE-17;(1, 1, 2);(0, 0, 0, 0)
ARC805PEAV-18;(0, 0, 0);(0, 0, 0, 0)
ASH22236AIPL-19;(1, 1, 2);(0, 0, 0, 0)
AXI601NE-17;(2, 1, 2);(0, 0, 0, 0)
CHARMFABI-17;(1, 1, 4);(0, 0, 0, 0)
D0538R420JE-19;(1, 0, 1);(0, 0, 0, 0)
EE21BI-18;(0, 0, 0);(0, 0, 0, 0)
EE26NE-19;(0, 0, 0);(0, 0, 0, 0)
EE2FANE-19;(0, 1, 1);(0, 0, 0, 0)
EU1908GH-17;(0, 1, 1);(0, 0, 0, 0)
G18VM-17;(0, 1, 1);(0, 0, 0, 0)
G9VE-17;(0, 1, 2);(0, 0, 0, 0)
GIA5286B502BE-19;(0, 0, 0);(0, 0, 0, 0)
GP918BL-18;(0, 0, 0);(0, 0, 0, 0)
GP918GI-18;(0, 0, 0);(0, 0, 0, 0)
GP918NE-18;(0, 0, 0);(0, 0, 0, 0)
GP918PA-17;(1, 0, 5);(0, 0, 0, 0)
HM18257AV-18;(0, 0, 0);(0, 0, 0, 0)
K4186T68RS-19;(0, 1, 1);(0, 0, 0, 0)
LDVF6337GR-17;(0, 1, 1);(0, 0, 0, 0)
LI1103967VI-17;(0, 0, 0);(0, 0, 0, 0)
LI16303NE-18;(1, 1, 2);(0, 0, 0, 0)
LI4027521STBI-18;(0, 0, 0);(0, 0, 0, 0)
LI4051821RS-19;(0, 0, 0);(0, 0, 0, 0)
LILYFA-19;(2, 0, 2);(0, 0, 0, 0)
LJ16303RS-19;(0, 0, 0);(0, 0, 0, 0)
M13NE-19;(1, 1, 2);(0, 0, 0, 0)
M5102909DBI-18;(1, 1, 2);(0, 0, 0, 0)
M6307VIBL-18;(1, 0, 3);(0, 0, 0, 0)
M8674B90BE-18;(1, 1, 1);(0, 0, 0, 0)
M9040D1VE-18;(2, 0, 2);(0, 0, 0, 0)
M9055NE-19;(1, 0, 2);(0, 0, 0, 0)
M9368C707NE-19;(0, 1, 1);(0, 0, 0, 0)
MA3949226909FABL-17;(1, 1, 2);(0, 0, 0, 0)
ME202FA-17;(1, 0, 0);(0, 0, 0, 0)
ME218FA-17;(4, 1, 2);(0, 0, 0, 0)
ME241FA-17;(2, 1, 3);(0, 0, 0, 0)
ME264ROFANE-18;(3, 1, 2);(0, 0, 0, 0)
ME271VE-18;(1, 0, 0);(0, 0, 0, 0)
ME799FA-19;(2, 1, 1);(0, 0, 0, 0)
MIS833NE-18;(0, 1, 1);(0, 0, 0, 0)
N2165FA-19;(2, 0, 1);(0, 0, 0, 0)
N2166BI-19;(1, 0, 3);(0, 0, 0, 0)
N2175FA-19;(0, 0, 0);(0, 0, 0, 0)
NL0116303NE-17;(1, 0, 0);(0, 0, 0, 0)
NL355FARO-17;(0, 0, 0);(0, 0, 0, 0)
ORSOLAFA-17;(5, 0, 4);(0, 0, 0, 0)
P1281E144NE-18;(1, 0, 1);(0, 0, 0, 0)
P2042A438BL-17;(5, 0, 3);(0, 0, 0, 0)
P2199B552NE-18;(0, 0, 0);(0, 0, 0, 0)
P2264A607NE-18;(3, 0, 3);(0, 0, 0, 0)
P2312607NE-18;(2, 0, 5);(0, 0, 0, 0)
P2439T1RS-18;(0, 0, 0);(0, 0, 0, 0)
P3NE-17;(1, 0, 1);(0, 0, 0, 0)
SJ20R460JE-18;(5, 0, 1);(0, 0, 0, 0)
SLIM2JE-17;(3, 0, 1);(0, 0, 0, 0)
SS13FA-17;(1, 1, 1);(0, 0, 0, 0)
SS17NE-17;(0, 0, 0);(0, 0, 0, 0)
T6080T7T52NE-18;(2, 0, 2);(0, 0, 0, 0)
TU07U34NE-19;(0, 0, 0);(0, 0, 0, 0)
VA814180MILFA-19;(1, 0, 3);(0, 0, 0, 0)
VA818687AIVE-19;(1, 1, 2);(0, 0, 0, 0)
VG7354VE-17;(0, 0, 0);(0, 0, 0, 0)
VG7960PA-17;(0, 0, 0);(0, 0, 0, 0)
VG8143GR-18;(0, 0, 0);(0, 0, 0, 0)
VG8174NE-18;(0, 1, 1);(0, 0, 0, 0)
VG8185NE-18;(0, 0, 0);(0, 0, 0, 0)
VG8203GR-18;(0, 0, 0);(0, 0, 0, 0)
VG9044NE-19;(5, 0, 2);(0, 0, 0, 0)
VG9109FANE-19;(0, 0, 0);(0, 0, 0, 0)
WENDYNE-19;(1, 1, 2);(0, 0, 0, 0)
XL2753FA-17;(0, 1, 1);(0, 0, 0, 0)
XL3425FA-19;(5, 0, 1);(0, 0, 0, 0)
