key;order;seasonal_order
1038GI-17;(0, 1, 1);(0, 0, 0, 52)
10749V2FARS-18;(0, 0, 0);(1, 0, 0, 52)
11494FIOREFANE-18;(0, 1, 0);(2, 0, 0, 52)
12844RS-19;(0, 0, 0);(0, 0, 1, 52)
1603NE-19;(0, 0, 0);(0, 0, 1, 52)
18010FANE-18;(0, 0, 0);(0, 0, 0, 52)
18042BFAGR-18;(0, 0, 0);(1, 0, 0, 52)
19041NE-19;(0, 1, 1);(1, 0, 0, 52)
314VM-17;(0, 0, 0);(0, 0, 0, 52)
466136NE-17;(0, 1, 1);(1, 0, 0, 52)
584325AINE-17;(4, 0, 2);(1, 0, 0, 52)
693125NE-17;(0, 0, 0);(1, 0, 0, 52)
7911FA-19;(3, 1, 1);(0, 0, 0, 52)
9057AINE-19;(0, 0, 0);(1, 0, 0, 52)
936625NE-18;(0, 0, 0);(0, 0, 1, 52)
980DIORNE-19;(0, 0, 0);(1, 0, 0, 52)
A07CL-17;(0, 0, 0);(1, 0, 0, 52)
A1619NE-17;(0, 0, 0);(0, 0, 1, 52)
A18178NE-19;(0, 1, 1);(0, 0, 0, 52)
A4848909OT-19;(0, 0, 0);(1, 0, 0, 52)
ALM56334AIBE-17;(0, 0, 0);(0, 0, 1, 52)
ALMA7155BE-17;(1, 1, 1);(0, 0, 0, 52)
ALMAP18083PECM-18;(0, 0, 0);(1, 0, 0, 52)
ALMP18219PEFAGI-18;(0, 0, 0);(1, 0, 0, 52)
ALMP18821FA-18;(0, 0, 0);(1, 0, 0, 52)
ALMP9115NE-19;(0, 0, 0);(1, 0, 0, 52)
AM1459DD70VE-17;(1, 1, 2);(0, 0, 0, 52)
ARC805PEAV-18;(0, 0, 0);(1, 0, 0, 52)
ASH22236AIPL-19;(0, 1, 1);(1, 0, 0, 52)
AXI601NE-17;(0, 1, 2);(0, 0, 0, 52)
CHARMFABI-17;(1, 1, 4);(0, 0, 0, 52)
D0538R420JE-19;(0, 0, 0);(0, 0, 1, 52)
EE21BI-18;(0, 0, 0);(1, 0, 0, 52)
EE26NE-19;(0, 0, 0);(0, 0, 1, 52)
EE2FANE-19;(0, 1, 1);(1, 0, 0, 52)
EU1908GH-17;(0, 1, 1);(0, 0, 0, 52)
G18VM-17;(0, 1, 1);(0, 0, 0, 52)
G9VE-17;(0, 1, 2);(0, 0, 0, 52)
GIA5286B502BE-19;(0, 0, 0);(1, 0, 0, 52)
GP918BL-18;(0, 0, 0);(0, 0, 1, 52)
GP918GI-18;(0, 0, 0);(0, 0, 1, 52)
GP918NE-18;(0, 0, 0);(0, 0, 0, 52)
GP918PA-17;(0, 0, 0);(0, 0, 0, 52)
HM18257AV-18;(0, 0, 0);(0, 0, 1, 52)
K4186T68RS-19;(0, 1, 1);(0, 0, 1, 52)
LDVF6337GR-17;(0, 1, 1);(0, 0, 0, 52)
LI1103967VI-17;(0, 0, 0);(0, 0, 1, 52)
LI16303NE-18;(1, 1, 2);(1, 0, 0, 52)
LI4027521STBI-18;(0, 0, 0);(1, 0, 0, 52)
LI4051821RS-19;(0, 0, 0);(0, 0, 1, 52)
LILYFA-19;(2, 0, 2);(0, 0, 0, 52)
LJ16303RS-19;(0, 0, 0);(0, 0, 1, 52)
M13NE-19;(1, 1, 2);(0, 0, 0, 52)
M5102909DBI-18;(0, 1, 1);(1, 0, 0, 52)
M6307VIBL-18;(0, 0, 0);(1, 0, 0, 52)
M8674B90BE-18;(1, 1, 1);(0, 0, 0, 52)
M9040D1VE-18;(0, 0, 0);(1, 0, 0, 52)
M9055NE-19;(0, 0, 0);(1, 0, 0, 52)
M9368C707NE-19;(0, 1, 1);(0, 0, 0, 52)
MA3949226909FABL-17;(1, 1, 2);(1, 0, 0, 52)
ME202FA-17;(1, 0, 0);(0, 0, 0, 52)
ME218FA-17;(4, 1, 2);(1, 0, 0, 52)
ME241FA-17;(1, 1, 2);(0, 0, 1, 52)
ME264ROFANE-18;(0, 0, 0);(0, 1, 0, 52)
ME271VE-18;(1, 0, 0);(1, 0, 0, 52)
ME799FA-19;(2, 1, 1);(0, 0, 0, 52)
MIS833NE-18;(0, 1, 1);(1, 0, 0, 52)
N2165FA-19;(2, 0, 2);(1, 0, 1, 52)
N2166BI-19;(0, 0, 0);(0, 0, 0, 52)
N2175FA-19;(0, 0, 0);(1, 0, 0, 52)
NL0116303NE-17;(0, 0, 0);(1, 0, 0, 52)
NL355FARO-17;(0, 0, 0);(1, 0, 0, 52)
ORSOLAFA-17;(0, 0, 0);(1, 0, 0, 52)
P1281E144NE-18;(0, 0, 0);(1, 0, 0, 52)
P2042A438BL-17;(0, 0, 0);(0, 0, 0, 52)
P2199B552NE-18;(0, 0, 0);(0, 0, 0, 52)
P2264A607NE-18;(2, 0, 2);(1, 0, 0, 52)
P2312607NE-18;(0, 0, 0);(1, 0, 0, 52)
P2439T1RS-18;(0, 0, 0);(0, 0, 1, 52)
P3NE-17;(0, 0, 0);(1, 0, 0, 52)
SJ20R460JE-18;(2, 0, 2);(1, 0, 0, 52)
SLIM2JE-17;(0, 0, 0);(0, 0, 1, 52)
SS13FA-17;(1, 1, 1);(0, 0, 0, 52)
SS17NE-17;(0, 0, 1);(0, 0, 1, 52)
T6080T7T52NE-18;(0, 0, 1);(1, 0, 0, 52)
TU07U34NE-19;(0, 0, 0);(1, 0, 0, 52)
VA814180MILFA-19;(0, 0, 0);(0, 0, 0, 52)
VA818687AIVE-19;(3, 1, 0);(1, 0, 0, 52)
VG7354VE-17;(1, 0, 0);(1, 0, 0, 52)
VG7960PA-17;(0, 0, 0);(0, 0, 0, 52)
VG8143GR-18;(0, 0, 0);(1, 0, 0, 52)
VG8174NE-18;(2, 0, 0);(0, 1, 0, 52)
VG8185NE-18;(1, 0, 0);(0, 0, 1, 52)
VG8203GR-18;(0, 0, 0);(0, 0, 1, 52)
VG9044NE-19;(0, 0, 0);(1, 0, 0, 52)
VG9109FANE-19;(0, 0, 0);(0, 0, 0, 52)
WENDYNE-19;(0, 1, 0);(1, 0, 1, 52)
XL2753FA-17;(0, 1, 1);(0, 0, 0, 52)
XL3425FA-19;(0, 0, 0);(0, 0, 1, 52)
YR1938BL-17;(0, 0, 0);(0, 0, 0, 52)
