key,naive,stlarima,arima
LILYFA-19,1.58333,2.51896,1.77238
7911FA-19,4.0,2.49476,3.75508
19041NE-19,11.83333,10.04167,12.81096
M9368C707NE-19,25.83333,16.8065,22.17408
1038GI-17,26.33333,13.00035,20.80455
VG8174NE-18,27.08333,13.986,23.23188
P3NE-17,29.54167,32.41666,21.83172
GP918NE-18,29.95833,57.86684,19.375
NL0116303NE-17,37.58333,33.80683,25.49139
ME799FA-19,37.66667,26.30858,21.73185
A4848909OT-19,40.58333,69.66559,26.925
AXI601NE-17,42.45833,25.62053,35.71965
AM1459DD70VE-17,43.04167,57.06669,37.72522
SLIM2JE-17,43.20833,46.4585,37.12372
ALMA7155BE-17,43.54167,34.88496,39.93745
EU1908GH-17,43.58333,27.41348,34.61711
EE26NE-19,43.875,65.11639,26.41563
LDVF6337GR-17,46.79167,31.52443,32.76889
K4186T68RS-19,47.20833,44.56458,29.46805
466136NE-17,47.41667,50.72942,33.41667
980DIORNE-19,48.04167,75.83514,25.68762
SS13FA-17,49.66667,36.12541,32.84316
VG9044NE-19,49.75,55.16364,40.55335
P2264A607NE-18,49.95833,43.30986,29.20175
P2439T1RS-18,51.75,91.47676,39.42083
P2312607NE-18,51.79167,51.83663,38.74246
ME264ROFANE-18,52.79167,17.23959,21.77017
G9VE-17,53.04167,35.76349,41.82711
M8674B90BE-18,54.25,32.71664,39.27107
TU07U34NE-19,54.75,82.81552,30.30729
LI4027521STBI-18,55.375,164.85925,50.07708
VA818687AIVE-19,55.91667,37.71363,35.36329
GP918BL-18,56.16667,60.56959,28.98959
A18178NE-19,56.33333,43.84652,29.25743
VG7354VE-17,56.33333,46.47741,31.92188
P2042A438BL-17,56.58333,35.17738,32.0298
LI16303NE-18,56.66667,47.62045,25.8955
ME271VE-18,56.83333,34.93418,32.71191
P1281E144NE-18,57.375,50.29132,42.19373
693125NE-17,57.79167,96.23372,38.0
D0538R420JE-19,58.45833,50.31246,33.27491
M6307VIBL-18,59.95833,52.09236,41.20198
XL2753FA-17,60.54167,47.16667,39.625
1603NE-19,60.75,34.79787,32.34546
CHARMFABI-17,62.125,60.74134,50.69283
VA814180MILFA-19,62.95833,46.79866,37.44827
VG8203GR-18,63.20833,75.01451,33.16354
MIS833NE-18,63.58333,50.93673,43.09221
12844RS-19,63.91667,40.13622,34.56847
LI4051821RS-19,64.33333,139.02335,40.73333
936625NE-18,64.45833,100.07065,30.58021
GP918PA-17,65.04167,45.64596,45.47398
9057AINE-19,65.66667,97.03362,34.16667
314VM-17,66.375,31.60847,29.66865
ASH22236AIPL-19,68.875,53.9753,31.79597
10749V2FARS-18,69.91667,62.31701,48.26413
GIA5286B502BE-19,71.0,102.30049,36.22917
P2199B552NE-18,72.20833,94.93039,36.63958
MA3949226909FABL-17,72.25,69.15385,46.30115
EE21BI-18,72.33333,70.85498,44.52084
N2165FA-19,72.41667,75.20536,45.4119
ORSOLAFA-17,72.95833,62.24248,42.97497
VG7960PA-17,73.375,102.65337,48.57708
11494FIOREFANE-18,74.16667,58.6574,42.24831
N2175FA-19,74.25,110.56285,40.20729
EE2FANE-19,74.5,65.71426,50.98548
XL3425FA-19,74.58333,51.13141,42.37541
584325AINE-17,75.54167,57.85844,40.05315
M5102909DBI-18,76.375,84.83149,67.12518
M9040D1VE-18,76.45833,56.80414,53.50984
VG8185NE-18,76.70833,84.10313,52.90417
LJ16303RS-19,79.0,108.04541,39.65313
SS17NE-17,79.79167,103.98312,56.65417
ME202FA-17,80.125,60.25753,43.28784
ALMP9115NE-19,80.29167,60.25515,55.45326
NL355FARO-17,80.95833,129.70551,48.29271
N2166BI-19,81.54167,55.25027,48.23532
ME241FA-17,81.875,47.05571,41.33466
ARC805PEAV-18,82.54167,120.99558,60.625
A1619NE-17,83.5,56.31879,36.26492
GP918GI-18,83.95833,65.12623,36.17708
VG8143GR-18,84.04167,134.62052,48.17897
18042BFAGR-18,84.29167,106.50543,30.30417
T6080T7T52NE-18,85.83333,51.6914,43.04979
ALMAP18083PECM-18,86.54167,67.93892,60.25298
M13NE-19,89.58333,45.52528,40.47738
LI1103967VI-17,89.58333,102.3434,43.6875
A07CL-17,89.875,62.74775,47.5744
SJ20R460JE-18,91.0,67.29936,61.84543
HM18257AV-18,91.125,99.74912,68.09896
G18VM-17,93.33333,46.13469,44.8723
ME218FA-17,93.875,53.33975,41.7545
YR1938BL-17,94.0,90.70986,38.95458
ALMP18821FA-18,94.79167,130.31183,46.74687
VG9109FANE-19,96.83333,135.80474,45.58333
WENDYNE-19,98.875,52.78634,48.78265
M9055NE-19,108.625,52.71524,48.29202
ALMP18219PEFAGI-18,112.45833,129.68804,43.60208
ALM56334AIBE-17,114.16667,97.07141,61.80417
18010FANE-18,123.20833,94.51232,49.67292
