key,naive,stlarima,arima
LILYFA-19,5.25,9.68768,5.89568
7911FA-19,24.25,10.37546,22.15775
19041NE-19,220.58333,153.77344,260.14992
1038GI-17,795.08333,240.15366,534.46822
VG8174NE-18,915.5,301.24965,706.96788
M9368C707NE-19,922.83333,423.2006,704.31415
P3NE-17,1246.04167,1644.75152,601.47908
GP918NE-18,1378.04167,4043.23535,541.8025
ME799FA-19,1821.5,1097.53465,727.5791
NL0116303NE-17,1999.75,1691.12574,1005.70534
EU1908GH-17,2502.33333,1112.80449,1747.03187
AXI601NE-17,2607.29167,1187.74579,2036.9082
A4848909OT-19,2639.75,6571.69672,1266.89013
EE26NE-19,2706.20833,5226.43056,1079.41289
SLIM2JE-17,2748.29167,3831.56251,2248.52238
ALMA7155BE-17,2975.04167,2018.10515,2586.41794
ME264ROFANE-18,3023.70833,490.15491,756.50556
LDVF6337GR-17,3024.04167,1624.82468,1808.62346
466136NE-17,3234.5,4207.21175,1692.60778
980DIORNE-19,3275.70833,7746.56993,1010.09987
K4186T68RS-19,3437.79167,3224.11609,1459.9054
AM1459DD70VE-17,3469.04167,5611.24096,2266.21323
P2264A607NE-18,3515.20833,2716.22109,1245.63704
G9VE-17,3632.54167,1899.69194,2585.29483
SS13FA-17,3658.0,1837.97907,1642.80579
M8674B90BE-18,4056.25,1707.38954,2487.6075
VG7354VE-17,4075.66667,3333.54709,1504.72042
GP918BL-18,4116.25,5034.93204,1311.61998
VA818687AIVE-19,4159.25,2055.41262,2026.02796
VG9044NE-19,4172.83333,4395.65472,2265.17674
LI16303NE-18,4241.16667,3378.9565,982.83773
A18178NE-19,4315.91667,2574.37051,1399.24826
P2312607NE-18,4343.54167,3698.73811,2289.05877
TU07U34NE-19,4344.75,9192.79773,1466.66023
P2439T1RS-18,4470.16667,11523.46045,2691.29236
ME271VE-18,4573.16667,2317.07108,1745.08383
P2042A438BL-17,4586.75,1997.28785,1811.58903
1603NE-19,4758.25,1818.80059,1672.44617
693125NE-17,4894.20833,12069.10449,2412.41689
D0538R420JE-19,4984.20833,3318.94778,1600.89237
P1281E144NE-18,5122.29167,4031.47987,2857.00734
LI4027521STBI-18,5156.95833,32374.45628,3746.04609
M6307VIBL-18,5213.04167,4247.13059,2681.92342
314VM-17,5321.29167,1787.45342,1472.38782
VA814180MILFA-19,5386.20833,3719.33089,2684.34165
VG8203GR-18,5393.875,8196.00058,1723.38596
9057AINE-19,5646.91667,11969.90704,2087.55352
12844RS-19,5694.16667,2486.73633,1960.42691
XL2753FA-17,5861.70833,3300.51567,2518.0453
936625NE-18,6003.70833,12448.26723,1928.41294
ASH22236AIPL-19,6072.54167,4190.26578,1667.44334
CHARMFABI-17,6133.875,5354.59314,3386.34447
GP918PA-17,6230.45833,2983.89207,3435.64883
LI4051821RS-19,6246.58333,25191.02403,2381.29328
P2199B552NE-18,6571.625,11770.98492,2500.60702
GIA5286B502BE-19,6797.66667,13865.31559,2262.11998
10749V2FARS-18,6855.0,6019.65247,3711.88938
MIS833NE-18,7029.5,4096.02959,4038.23944
N2175FA-19,7211.5,17242.7575,2882.21901
N2165FA-19,7381.58333,8349.82396,3158.85859
EE21BI-18,7470.41667,7239.69051,3320.44175
XL3425FA-19,7683.0,4039.19262,2694.80057
ORSOLAFA-17,7869.95833,5073.6297,3043.87647
MA3949226909FABL-17,7875.33333,7074.03009,3753.53063
584325AINE-17,7968.79167,4326.99594,2520.85311
EE2FANE-19,7971.0,5774.13844,3917.4071
11494FIOREFANE-18,7986.83333,5581.85757,2841.34446
VG8185NE-18,8324.70833,10106.23698,4531.06524
18042BFAGR-18,8408.20833,15316.25686,1474.18805
LJ16303RS-19,8558.5,14968.32036,2742.37535
ME241FA-17,8562.20833,3755.61405,2664.25486
GP918GI-18,8664.875,6088.42097,2183.90128
ME202FA-17,8819.29167,6945.15789,2999.18774
VG7960PA-17,8863.875,15669.27845,4199.84017
SS17NE-17,8966.125,15895.63853,4881.77147
M5102909DBI-18,9047.125,9274.34462,7432.28836
NL355FARO-17,9159.29167,21507.1679,3464.87972
M9040D1VE-18,9199.70833,4811.83858,4200.75239
N2166BI-19,9238.20833,4567.41927,3836.85558
VG8143GR-18,9416.54167,24984.15738,3615.74314
A1619NE-17,9509.08333,4650.84133,2633.09428
ALMP9115NE-19,9881.625,5716.47446,4350.63856
T6080T7T52NE-18,9886.0,4361.93963,2739.47487
M13NE-19,10176.08333,3720.78925,2410.48539
YR1938BL-17,10264.16667,11913.86758,2120.09971
A07CL-17,10334.875,5933.08238,3720.31704
ALMAP18083PECM-18,10646.54167,6606.92402,5242.40446
LI1103967VI-17,10936.75,14372.77001,3259.24366
ARC805PEAV-18,11132.375,19650.00836,5816.72425
ME218FA-17,11138.54167,4593.49265,2850.09549
G18VM-17,11529.16667,3834.33369,3066.0265
SJ20R460JE-18,11921.25,6527.19877,6741.908
WENDYNE-19,11978.54167,4065.21726,3919.36503
ALMP18821FA-18,11984.45833,21120.16207,3001.78989
HM18257AV-18,12092.54167,16573.15143,6601.13291
VG9109FANE-19,12375.91667,26238.12559,3273.95311
M9055NE-19,15068.04167,4560.16595,4092.34996
ALMP18219PEFAGI-18,15728.54167,22111.98393,3157.93613
ALM56334AIBE-17,16808.91667,14167.25545,6219.36774
18010FANE-18,17310.29167,12975.81241,3808.60786
