key,naive,stlarima,arima
LILYFA-19,2.29129,3.1125,2.4281
7911FA-19,4.92443,3.2211,4.7072
19041NE-19,14.85205,12.40054,16.12916
1038GI-17,28.19722,15.49689,23.11857
VG8174NE-18,30.25723,17.35655,26.58887
M9368C707NE-19,30.37817,20.57184,26.53892
P3NE-17,35.29932,40.55554,24.52507
GP918NE-18,37.12198,63.58644,23.27665
ME799FA-19,42.67903,33.12906,26.97367
NL0116303NE-17,44.71856,41.1233,31.71286
EU1908GH-17,50.02333,33.35872,41.79751
AXI601NE-17,51.06165,34.46369,45.13212
A4848909OT-19,51.3785,81.066,35.5934
EE26NE-19,52.02123,72.29406,32.85442
SLIM2JE-17,52.42415,61.89962,47.41859
ALMA7155BE-17,54.54394,44.92333,50.85684
ME264ROFANE-18,54.98826,22.13944,27.50465
LDVF6337GR-17,54.99129,40.30911,42.52791
466136NE-17,56.87266,64.86302,41.14131
980DIORNE-19,57.2338,88.0146,31.78207
K4186T68RS-19,58.63268,56.7813,38.20871
AM1459DD70VE-17,58.89857,74.90822,47.60476
P2264A607NE-18,59.28919,52.11738,35.29358
G9VE-17,60.27057,43.58546,50.84579
SS13FA-17,60.4814,42.87166,40.53154
M8674B90BE-18,63.6887,41.32057,49.87592
VG7354VE-17,63.84095,57.73688,38.79073
GP918BL-18,64.15801,70.95726,36.21629
VA818687AIVE-19,64.49225,45.33666,45.01142
VG9044NE-19,64.59747,66.29973,47.59387
LI16303NE-18,65.12424,58.12879,31.35024
A18178NE-19,65.69564,50.73825,37.40653
P2312607NE-18,65.90555,60.81725,47.84411
TU07U34NE-19,65.91472,95.87908,38.297
P2439T1RS-18,66.85931,107.34738,51.87767
ME271VE-18,67.62519,48.13596,41.7742
P2042A438BL-17,67.72555,44.69103,42.56277
1603NE-19,68.98007,42.6474,40.89555
693125NE-17,69.95862,109.85948,49.11636
D0538R420JE-19,70.59893,57.61031,40.01115
P1281E144NE-18,71.57019,63.49394,53.45098
LI4027521STBI-18,71.81197,179.92903,61.20495
M6307VIBL-18,72.2014,65.17001,51.78729
314VM-17,72.94718,42.27829,38.37171
VA814180MILFA-19,73.39079,60.98632,51.81063
VG8203GR-18,73.44301,90.53177,41.51368
9057AINE-19,75.14597,109.40707,45.68975
12844RS-19,75.4597,49.86719,44.27671
XL2753FA-17,76.56179,57.45011,50.18013
936625NE-18,77.4836,111.5718,43.9137
ASH22236AIPL-19,77.92651,64.73226,40.83434
CHARMFABI-17,78.31906,73.17509,58.19231
GP918PA-17,78.93325,54.62501,58.61441
LI4051821RS-19,79.03533,158.7168,48.7985
P2199B552NE-18,81.06556,108.49417,50.00607
GIA5286B502BE-19,82.44796,117.75107,47.56175
10749V2FARS-18,82.79493,77.58642,60.92528
MIS833NE-18,83.84211,64.00023,63.54714
N2175FA-19,84.92055,131.31168,53.6863
N2165FA-19,85.91614,91.37737,56.20372
EE21BI-18,86.43157,85.08637,57.62327
XL3425FA-19,87.65272,63.55464,51.91147
ORSOLAFA-17,88.71279,71.22942,55.17134
MA3949226909FABL-17,88.74307,84.10725,61.26606
584325AINE-17,89.26809,65.77991,50.2081
EE2FANE-19,89.28046,75.98775,62.58919
11494FIOREFANE-18,89.36908,74.71183,53.30426
VG8185NE-18,91.23984,100.52978,67.31319
18042BFAGR-18,91.69628,123.75887,38.39516
LJ16303RS-19,92.51216,122.34509,52.36769
ME241FA-17,92.5322,61.28306,51.61642
GP918GI-18,93.08531,78.02833,46.73223
ME202FA-17,93.91108,83.33761,54.76484
VG7960PA-17,94.14815,125.17699,64.80617
SS17NE-17,94.68962,126.07791,69.86967
M5102909DBI-18,95.11638,96.3034,86.21072
NL355FARO-17,95.70419,146.65322,58.86323
M9040D1VE-18,95.91511,69.36742,64.81321
N2166BI-19,96.1156,67.58268,61.94236
VG8143GR-18,97.03887,158.06378,60.13105
A1619NE-17,97.51453,68.19708,51.31369
ALMP9115NE-19,99.40636,75.60737,65.95937
T6080T7T52NE-18,99.42837,66.04498,52.33999
M13NE-19,100.87657,60.99827,49.09669
YR1938BL-17,101.31222,109.15066,46.04454
A07CL-17,101.66059,77.0265,60.9944
ALMAP18083PECM-18,103.18208,81.28299,72.40445
LI1103967VI-17,104.57892,119.88649,57.08979
ARC805PEAV-18,105.51007,140.17849,76.26745
ME218FA-17,105.53929,67.77531,53.38629
G18VM-17,107.37396,61.922,55.37171
SJ20R460JE-18,109.18448,80.79108,82.10912
WENDYNE-19,109.44652,63.75906,62.60483
ALMP18821FA-18,109.47355,145.32777,54.78859
HM18257AV-18,109.96609,128.73675,81.24736
VG9109FANE-19,111.2471,161.98187,57.21847
M9055NE-19,122.75195,67.529,63.97148
ALMP18219PEFAGI-18,125.41348,148.70099,56.19552
ALM56334AIBE-17,129.64921,119.02628,78.86297
18010FANE-18,131.56858,113.91142,61.71392
