week,value
2020-07-19,143.1623909182498
2020-07-26,135.6920432554668
2020-08-02,143.80484194092406
2020-08-09,144.27357633174054
2020-08-16,144.48942942441136
2020-08-23,144.58883019066278
2020-08-30,144.6346044355861
2020-09-06,144.6556835638194
2020-09-13,144.66539054310041
2020-09-20,144.66986062581537
2020-09-27,144.67191910754283
2020-10-04,144.67286704235576
2020-10-11,144.67330356816873
2020-10-18,144.67350458914908
2020-10-25,144.67359715969894
2020-11-01,144.67363978861604
2020-11-08,144.6736594193147
2020-11-15,144.6736684592894
2020-11-22,144.6736726222152
2020-11-29,144.67367453925058
2020-12-06,144.67367542204906
2020-12-13,144.6736758285795
2020-12-20,144.67367601578752
2020-12-27,144.6736761019972
2021-01-03,144.67367614169692
2021-01-10,144.6736761599787
2021-01-17,144.6736761683975
2021-01-24,144.67367617227438
2021-01-31,144.6736761740597
2021-02-07,144.67367617488182
