week,value
2020-07-19,104.0
2020-07-26,104.0
2020-08-02,104.0
2020-08-09,104.0
2020-08-16,104.0
2020-08-23,104.0
2020-08-30,104.0
2020-09-06,104.0
2020-09-13,104.0
2020-09-20,104.0
2020-09-27,104.0
2020-10-04,104.0
2020-10-11,104.0
2020-10-18,104.0
2020-10-25,104.0
2020-11-01,104.0
2020-11-08,104.0
2020-11-15,104.0
2020-11-22,104.0
2020-11-29,104.0
2020-12-06,104.0
2020-12-13,104.0
2020-12-20,104.0
2020-12-27,104.0
2021-01-03,104.0
2021-01-10,104.0
2021-01-17,104.0
2021-01-24,104.0
2021-01-31,104.0
2021-02-07,104.0
