week,value
2020-07-19,109.0
2020-07-26,109.0
2020-08-02,109.0
2020-08-09,109.0
2020-08-16,109.0
2020-08-23,109.0
2020-08-30,109.0
2020-09-06,109.0
2020-09-13,109.0
2020-09-20,109.0
2020-09-27,109.0
2020-10-04,109.0
2020-10-11,109.0
2020-10-18,109.0
2020-10-25,109.0
2020-11-01,109.0
2020-11-08,109.0
2020-11-15,109.0
2020-11-22,109.0
2020-11-29,109.0
2020-12-06,109.0
2020-12-13,109.0
2020-12-20,109.0
2020-12-27,109.0
2021-01-03,109.0
2021-01-10,109.0
2021-01-17,109.0
2021-01-24,109.0
2021-01-31,109.0
2021-02-07,109.0
