week,value
2020-07-19,131.0
2020-07-26,131.0
2020-08-02,131.0
2020-08-09,131.0
2020-08-16,131.0
2020-08-23,131.0
2020-08-30,131.0
2020-09-06,131.0
2020-09-13,131.0
2020-09-20,131.0
2020-09-27,131.0
2020-10-04,131.0
2020-10-11,131.0
2020-10-18,131.0
2020-10-25,131.0
2020-11-01,131.0
2020-11-08,131.0
2020-11-15,131.0
2020-11-22,131.0
2020-11-29,131.0
2020-12-06,131.0
2020-12-13,131.0
2020-12-20,131.0
2020-12-27,131.0
2021-01-03,131.0
2021-01-10,131.0
2021-01-17,131.0
2021-01-24,131.0
2021-01-31,131.0
2021-02-07,131.0
