key,naive,stlarima,arima
LILYFA-19,1.58333,2.51896,1.77238
7911FA-19,4.0,2.49476,3.75508
19041NE-19,11.83333,10.04167,15.91525
M9368C707NE-19,25.83333,16.8065,22.17408
1038GI-17,26.33333,13.00035,20.80455
VG8174NE-18,27.08333,14.17042,23.60703
P3NE-17,29.54167,80.71631,22.3745
GP918NE-18,29.95833,57.86684,19.375
NL0116303NE-17,37.58333,48.81167,28.74094
ME799FA-19,37.66667,26.30858,21.73185
A4848909OT-19,40.58333,69.66559,31.55722
AXI601NE-17,42.45833,25.62054,35.45428
AM1459DD70VE-17,43.04167,57.06669,37.72522
SLIM2JE-17,43.20833,85.53935,36.74712
ALMA7155BE-17,43.54167,34.88496,39.93745
EU1908GH-17,43.58333,27.41348,34.61711
EE26NE-19,43.875,65.11639,28.3467
LDVF6337GR-17,46.79167,31.52443,32.76889
K4186T68RS-19,47.20833,44.56458,30.78897
466136NE-17,47.41667,50.72942,32.1454
980DIORNE-19,48.04167,78.52786,29.80205
SS13FA-17,49.66667,36.12541,32.84316
VG9044NE-19,49.75,93.82987,40.10375
P2264A607NE-18,49.95833,43.27804,29.01855
P2439T1RS-18,51.75,91.47676,38.67485
P2312607NE-18,51.79167,104.88184,38.91847
ME264ROFANE-18,52.79167,16.44756,26.125
G9VE-17,53.04167,35.76349,41.82711
M8674B90BE-18,54.25,32.71664,39.27107
TU07U34NE-19,54.75,82.81552,35.341
LI4027521STBI-18,55.375,164.85925,57.38654
VA818687AIVE-19,55.91667,37.71363,39.16544
GP918BL-18,56.16667,60.56959,30.58324
VG7354VE-17,56.33333,36.66436,34.49977
A18178NE-19,56.33333,43.84652,29.25743
P2042A438BL-17,56.58333,76.9954,32.50834
LI16303NE-18,56.66667,47.62045,29.05226
ME271VE-18,56.83333,34.93418,36.20761
P1281E144NE-18,57.375,91.73294,47.59554
693125NE-17,57.79167,96.23372,44.39891
D0538R420JE-19,58.45833,78.45856,35.14558
M6307VIBL-18,59.95833,98.37578,47.3241
XL2753FA-17,60.54167,47.16667,39.625
1603NE-19,60.75,93.58311,33.21542
CHARMFABI-17,62.125,60.74134,50.69283
VA814180MILFA-19,62.95833,68.88054,43.0375
VG8203GR-18,63.20833,75.01451,33.29406
MIS833NE-18,63.58333,50.93673,47.60817
12844RS-19,63.91667,99.13799,37.24189
LI4051821RS-19,64.33333,139.02335,41.44277
936625NE-18,64.45833,100.07065,31.00746
GP918PA-17,65.04167,61.0737,46.80209
9057AINE-19,65.66667,97.03362,37.73762
314VM-17,66.375,91.47228,28.82187
ASH22236AIPL-19,68.875,53.9753,37.14551
10749V2FARS-18,69.91667,150.19366,55.18646
GIA5286B502BE-19,71.0,102.30049,39.43804
P2199B552NE-18,72.20833,94.93039,36.63958
MA3949226909FABL-17,72.25,69.15385,48.36482
EE21BI-18,72.33333,70.85498,44.97718
N2165FA-19,72.41667,75.14343,46.4087
ORSOLAFA-17,72.95833,95.33501,46.78166
VG7960PA-17,73.375,102.65337,48.57708
11494FIOREFANE-18,74.16667,58.65738,59.11238
N2175FA-19,74.25,110.56285,42.17143
EE2FANE-19,74.5,65.71426,52.69211
XL3425FA-19,74.58333,109.33412,42.2851
584325AINE-17,75.54167,57.87684,44.82929
M5102909DBI-18,76.375,84.83148,78.52093
M9040D1VE-18,76.45833,120.52596,60.38204
VG8185NE-18,76.70833,57.88598,57.4865
LJ16303RS-19,79.0,108.04541,41.1574
SS17NE-17,79.79167,102.078,65.02725
ME202FA-17,80.125,60.25753,43.28784
ALMP9115NE-19,80.29167,107.51789,56.54581
NL355FARO-17,80.95833,129.70551,59.17561
N2166BI-19,81.54167,93.89107,51.51042
ME241FA-17,81.875,47.05572,42.01155
ARC805PEAV-18,82.54167,120.99558,67.77093
A1619NE-17,83.5,93.08803,40.14983
GP918GI-18,83.95833,65.12623,36.10962
VG8143GR-18,84.04167,134.62052,50.443
18042BFAGR-18,84.29167,106.50543,36.34089
T6080T7T52NE-18,85.83333,136.41756,58.88416
ALMAP18083PECM-18,86.54167,96.48943,60.66208
M13NE-19,89.58333,45.52528,40.47738
LI1103967VI-17,89.58333,102.3434,47.01456
A07CL-17,89.875,100.87579,57.00564
SJ20R460JE-18,91.0,67.30518,62.37001
HM18257AV-18,91.125,99.74912,71.16918
G18VM-17,93.33333,46.13469,44.8723
ME218FA-17,93.875,53.33975,48.11649
YR1938BL-17,94.0,92.92755,38.23334
ALMP18821FA-18,94.79167,130.31183,51.23281
VG9109FANE-19,96.83333,135.80474,45.58333
WENDYNE-19,98.875,52.78634,139.40163
M9055NE-19,108.625,76.87051,59.89007
ALMP18219PEFAGI-18,112.45833,129.68804,49.95401
ALM56334AIBE-17,114.16667,97.07141,61.39159
18010FANE-18,123.20833,94.51232,49.67292
