key,naive,stlarima,arima
LILYFA-19,5.25,9.68768,5.89568
7911FA-19,24.25,10.37546,22.15775
19041NE-19,220.58333,153.77344,393.95239
1038GI-17,795.08333,240.15366,534.46822
VG8174NE-18,915.5,307.93097,754.44398
M9368C707NE-19,922.83333,423.2006,704.31415
P3NE-17,1246.04167,8341.06887,676.74607
GP918NE-18,1378.04167,4043.23535,541.8025
ME799FA-19,1821.5,1097.53465,727.5791
NL0116303NE-17,1999.75,4028.24558,1316.73223
EU1908GH-17,2502.33333,1112.80449,1747.03187
AXI601NE-17,2607.29167,1187.74599,1980.37333
A4848909OT-19,2639.75,6571.69672,1752.2403
EE26NE-19,2706.20833,5226.43056,1277.03337
SLIM2JE-17,2748.29167,11681.61379,2008.53581
ALMA7155BE-17,2975.04167,2018.10515,2586.41794
ME264ROFANE-18,3023.70833,461.90746,923.29167
LDVF6337GR-17,3024.04167,1624.82468,1808.62346
466136NE-17,3234.5,4207.21175,1629.39096
980DIORNE-19,3275.70833,8107.909,1380.25965
K4186T68RS-19,3437.79167,3224.11609,1548.8519
AM1459DD70VE-17,3469.04167,5611.24096,2266.21323
P2264A607NE-18,3515.20833,2712.95436,1440.01019
G9VE-17,3632.54167,1899.69194,2585.29483
SS13FA-17,3658.0,1837.97907,1642.80579
M8674B90BE-18,4056.25,1707.38954,2487.6075
VG7354VE-17,4075.66667,1864.84913,2015.70159
GP918BL-18,4116.25,5034.93204,1463.92097
VA818687AIVE-19,4159.25,2055.41338,2676.34741
VG9044NE-19,4172.83333,12706.20319,2773.72627
LI16303NE-18,4241.16667,3378.9565,1359.2748
A18178NE-19,4315.91667,2574.37051,1399.24826
P2312607NE-18,4343.54167,13738.1103,2616.01048
TU07U34NE-19,4344.75,9192.79773,1984.90223
P2439T1RS-18,4470.16667,11523.46045,2721.34106
ME271VE-18,4573.16667,2317.07108,2111.01342
P2042A438BL-17,4586.75,7654.4506,1841.31344
1603NE-19,4758.25,10806.59666,1919.72417
693125NE-17,4894.20833,12069.10449,3195.27727
D0538R420JE-19,4984.20833,9632.44265,1800.45486
P1281E144NE-18,5122.29167,12048.21547,3378.58383
LI4027521STBI-18,5156.95833,32374.45628,5000.73383
M6307VIBL-18,5213.04167,13207.32853,3007.44684
314VM-17,5321.29167,10571.41193,1421.8449
VA814180MILFA-19,5386.20833,7620.87061,2692.54931
VG8203GR-18,5393.875,8196.00058,1777.74236
9057AINE-19,5646.91667,11969.90704,2623.30243
12844RS-19,5694.16667,12475.7588,2290.15743
XL2753FA-17,5861.70833,3300.51567,2518.0453
936625NE-18,6003.70833,12448.26723,2228.00102
ASH22236AIPL-19,6072.54167,4190.2648,2027.75372
CHARMFABI-17,6133.875,5354.59314,3386.34447
GP918PA-17,6230.45833,5815.87124,3445.15384
LI4051821RS-19,6246.58333,25191.02403,2534.57663
P2199B552NE-18,6571.625,11770.98492,2500.60702
GIA5286B502BE-19,6797.66667,13865.31559,2552.20449
10749V2FARS-18,6855.0,27919.33706,4527.67488
MIS833NE-18,7029.5,4096.02959,4974.95213
N2175FA-19,7211.5,17242.7575,3239.95975
N2165FA-19,7381.58333,8330.21919,3372.78401
EE21BI-18,7470.41667,7239.69051,3428.66898
XL3425FA-19,7683.0,16375.7598,2942.27607
ORSOLAFA-17,7869.95833,14813.40479,3796.85991
MA3949226909FABL-17,7875.33333,7074.03009,3765.55209
584325AINE-17,7968.79167,4329.406,3547.32922
EE2FANE-19,7971.0,5774.13844,4469.67048
11494FIOREFANE-18,7986.83333,5581.85497,5653.46464
VG8185NE-18,8324.70833,4824.59818,5374.8581
18042BFAGR-18,8408.20833,15316.25686,1773.29195
LJ16303RS-19,8558.5,14968.32036,2917.91194
ME241FA-17,8562.20833,3755.61585,2788.31549
GP918GI-18,8664.875,6088.42097,2313.64666
ME202FA-17,8819.29167,6945.15789,2999.18774
VG7960PA-17,8863.875,15669.27845,4199.84017
SS17NE-17,8966.125,15545.23037,6266.4952
M5102909DBI-18,9047.125,9274.34197,9475.11039
NL355FARO-17,9159.29167,21507.1679,5159.91479
M9040D1VE-18,9199.70833,19035.02122,5848.53536
N2166BI-19,9238.20833,12734.44349,4008.54136
VG8143GR-18,9416.54167,24984.15738,4543.13709
A1619NE-17,9509.08333,12114.3712,2898.81253
ALMP9115NE-19,9881.625,17257.66863,5098.36295
T6080T7T52NE-18,9886.0,22877.14903,5655.58916
M13NE-19,10176.08333,3720.78925,2410.48539
YR1938BL-17,10264.16667,12404.52604,2023.5269
A07CL-17,10334.875,14348.6929,4727.1034
ALMAP18083PECM-18,10646.54167,14651.32672,5764.67247
LI1103967VI-17,10936.75,14372.77001,3678.74971
ARC805PEAV-18,11132.375,19650.00836,8267.09337
ME218FA-17,11138.54167,4593.49265,4009.65068
G18VM-17,11529.16667,3834.33369,3066.0265
SJ20R460JE-18,11921.25,6528.19127,7544.12017
WENDYNE-19,11978.54167,4065.21823,22823.61543
ALMP18821FA-18,11984.45833,21120.16207,3511.45602
HM18257AV-18,12092.54167,16573.15143,7186.6453
VG9109FANE-19,12375.91667,26238.12559,3273.95311
M9055NE-19,15068.04167,8743.80685,6508.33217
ALMP18219PEFAGI-18,15728.54167,22111.98393,4110.19438
ALM56334AIBE-17,16808.91667,14167.25545,6319.69742
18010FANE-18,17310.29167,12975.81241,3808.60786
