key,naive,stlarima,arima
LILYFA-19,2.29129,3.1125,2.4281
7911FA-19,4.92443,3.2211,4.7072
19041NE-19,14.85205,12.40054,19.84823
1038GI-17,28.19722,15.49689,23.11857
VG8174NE-18,30.25723,17.54796,27.46714
M9368C707NE-19,30.37817,20.57184,26.53892
P3NE-17,35.29932,91.32945,26.01434
GP918NE-18,37.12198,63.58644,23.27665
ME799FA-19,42.67903,33.12906,26.97367
NL0116303NE-17,44.71856,63.46846,36.28681
EU1908GH-17,50.02333,33.35872,41.79751
AXI601NE-17,51.06165,34.46369,44.50139
A4848909OT-19,51.3785,81.066,41.85977
EE26NE-19,52.02123,72.29406,35.7356
SLIM2JE-17,52.42415,108.08151,44.81669
ALMA7155BE-17,54.54394,44.92333,50.85684
ME264ROFANE-18,54.98826,21.49203,30.38571
LDVF6337GR-17,54.99129,40.30911,42.52791
466136NE-17,56.87266,64.86302,40.36572
980DIORNE-19,57.2338,90.04393,37.15185
K4186T68RS-19,58.63268,56.7813,39.35546
AM1459DD70VE-17,58.89857,74.90822,47.60476
P2264A607NE-18,59.28919,52.08603,37.94747
G9VE-17,60.27057,43.58546,50.84579
SS13FA-17,60.4814,42.87166,40.53154
M8674B90BE-18,63.6887,41.32057,49.87592
VG7354VE-17,63.84095,43.1839,44.89657
GP918BL-18,64.15801,70.95726,38.26122
VA818687AIVE-19,64.49225,45.33667,51.73343
VG9044NE-19,64.59747,112.7218,52.66618
LI16303NE-18,65.12424,58.12879,36.86834
A18178NE-19,65.69564,50.73825,37.40653
P2312607NE-18,65.90555,117.20969,51.14695
TU07U34NE-19,65.91472,95.87908,44.55224
P2439T1RS-18,66.85931,107.34738,52.16647
ME271VE-18,67.62519,48.13596,45.94577
P2042A438BL-17,67.72555,87.48972,42.91053
1603NE-19,68.98007,103.95478,43.81466
693125NE-17,69.95862,109.85948,56.52678
D0538R420JE-19,70.59893,98.14501,42.43177
P1281E144NE-18,71.57019,109.76436,58.12559
LI4027521STBI-18,71.81197,179.92903,70.71587
M6307VIBL-18,72.2014,114.92314,54.84019
314VM-17,72.94718,102.81737,37.70736
VA814180MILFA-19,73.39079,87.2976,51.88978
VG8203GR-18,73.44301,90.53177,42.16328
9057AINE-19,75.14597,109.40707,51.21818
12844RS-19,75.4597,111.69494,47.85559
XL2753FA-17,76.56179,57.45011,50.18013
936625NE-18,77.4836,111.5718,47.20171
ASH22236AIPL-19,77.92651,64.73225,45.03059
CHARMFABI-17,78.31906,73.17509,58.19231
GP918PA-17,78.93325,76.26186,58.69543
LI4051821RS-19,79.03533,158.7168,50.34458
P2199B552NE-18,81.06556,108.49417,50.00607
GIA5286B502BE-19,82.44796,117.75107,50.51935
10749V2FARS-18,82.79493,167.0908,67.288
MIS833NE-18,83.84211,64.00023,70.53334
N2175FA-19,84.92055,131.31168,56.92064
N2165FA-19,85.91614,91.27003,58.07567
EE21BI-18,86.43157,85.08637,58.55484
XL3425FA-19,87.65272,127.96781,54.24275
ORSOLAFA-17,88.71279,121.71033,61.61867
MA3949226909FABL-17,88.74307,84.10725,61.36409
584325AINE-17,89.26809,65.79822,59.55946
EE2FANE-19,89.28046,75.98775,66.85559
11494FIOREFANE-18,89.36908,74.71181,75.18952
VG8185NE-18,91.23984,69.45933,73.31342
18042BFAGR-18,91.69628,123.75887,42.11047
LJ16303RS-19,92.51216,122.34509,54.0177
ME241FA-17,92.5322,61.28308,52.8045
GP918GI-18,93.08531,78.02833,48.10038
ME202FA-17,93.91108,83.33761,54.76484
VG7960PA-17,94.14815,125.17699,64.80617
SS17NE-17,94.68962,124.68051,79.1612
M5102909DBI-18,95.11638,96.30339,97.34018
NL355FARO-17,95.70419,146.65322,71.83255
M9040D1VE-18,95.91511,137.96746,76.47572
N2166BI-19,96.1156,112.84699,63.31304
VG8143GR-18,97.03887,158.06378,67.4028
A1619NE-17,97.51453,110.0653,53.84062
ALMP9115NE-19,99.40636,131.36845,71.40282
T6080T7T52NE-18,99.42837,151.25194,75.20365
M13NE-19,100.87657,60.99827,49.09669
YR1938BL-17,101.31222,111.37561,44.98363
A07CL-17,101.66059,119.78603,68.75393
ALMAP18083PECM-18,103.18208,121.04266,75.92544
LI1103967VI-17,104.57892,119.88649,60.6527
ARC805PEAV-18,105.51007,140.17849,90.92356
ME218FA-17,105.53929,67.77531,63.3218
G18VM-17,107.37396,61.922,55.37171
SJ20R460JE-18,109.18448,80.79722,86.85689
WENDYNE-19,109.44652,63.75906,151.07487
ALMP18821FA-18,109.47355,145.32777,59.25754
HM18257AV-18,109.96609,128.73675,84.77408
VG9109FANE-19,111.2471,161.98187,57.21847
M9055NE-19,122.75195,93.50833,80.67423
ALMP18219PEFAGI-18,125.41348,148.70099,64.1108
ALM56334AIBE-17,129.64921,119.02628,79.49652
18010FANE-18,131.56858,113.91142,61.71392
