week,value
2020-07-19,30.999999999999996
2020-07-26,13.0
2020-08-02,21.999999999999996
2020-08-09,26.999999999999996
2020-08-16,38.99999999999999
2020-08-23,31.999999999999996
2020-08-30,44.99999999999999
2020-09-06,26.0
2020-09-13,20.0
2020-09-20,10.0
2020-09-27,18.999999999999996
2020-10-04,30.999999999999996
2020-10-11,23.0
2020-10-18,14.999999999999996
2020-10-25,37.0
2020-11-01,31.999999999999996
2020-11-08,30.999999999999996
2020-11-15,38.99999999999999
2020-11-22,30.999999999999996
2020-11-29,50.0
2020-12-06,23.999999999999996
2020-12-13,26.0
2020-12-20,50.0
2020-12-27,37.0
2021-01-03,41.0
2021-01-10,30.0
2021-01-17,37.0
2021-01-24,40.0
2021-01-31,53.0
2021-02-07,39.0
