week,value
2020-07-19,103.0
2020-07-26,103.0
2020-08-02,103.0
2020-08-09,103.0
2020-08-16,103.0
2020-08-23,103.0
2020-08-30,103.0
2020-09-06,103.0
2020-09-13,103.0
2020-09-20,103.0
2020-09-27,103.0
2020-10-04,103.0
2020-10-11,103.0
2020-10-18,103.0
2020-10-25,103.0
2020-11-01,103.0
2020-11-08,103.0
2020-11-15,103.0
2020-11-22,103.0
2020-11-29,103.0
2020-12-06,103.0
2020-12-13,103.0
2020-12-20,103.0
2020-12-27,103.0
2021-01-03,103.0
2021-01-10,103.0
2021-01-17,103.0
2021-01-24,103.0
2021-01-31,103.0
2021-02-07,103.0
