week,value
2020-07-19,113.0
2020-07-26,113.0
2020-08-02,113.0
2020-08-09,113.0
2020-08-16,113.0
2020-08-23,113.0
2020-08-30,113.0
2020-09-06,113.0
2020-09-13,113.0
2020-09-20,113.0
2020-09-27,113.0
2020-10-04,113.0
2020-10-11,113.0
2020-10-18,113.0
2020-10-25,113.0
2020-11-01,113.0
2020-11-08,113.0
2020-11-15,113.0
2020-11-22,113.0
2020-11-29,113.0
2020-12-06,113.0
2020-12-13,113.0
2020-12-20,113.0
2020-12-27,113.0
2021-01-03,113.0
2021-01-10,113.0
2021-01-17,113.0
2021-01-24,113.0
2021-01-31,113.0
2021-02-07,113.0
