week,value
2020-07-19,102.0
2020-07-26,102.0
2020-08-02,102.0
2020-08-09,102.0
2020-08-16,102.0
2020-08-23,102.0
2020-08-30,102.0
2020-09-06,102.0
2020-09-13,102.0
2020-09-20,102.0
2020-09-27,102.0
2020-10-04,102.0
2020-10-11,102.0
2020-10-18,102.0
2020-10-25,102.0
2020-11-01,102.0
2020-11-08,102.0
2020-11-15,102.0
2020-11-22,102.0
2020-11-29,102.0
2020-12-06,102.0
2020-12-13,102.0
2020-12-20,102.0
2020-12-27,102.0
2021-01-03,102.0
2021-01-10,102.0
2021-01-17,102.0
2021-01-24,102.0
2021-01-31,102.0
2021-02-07,102.0
